Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
,,,,Accelerated triacylglycerol turnover kinetics in hearts of diabetic rats include evidence for compartmented lipid storage,"JM O’Donnell, M Zampino, NM Alpert, MJ Fasano, DL Geenen, ...",American Journal of Physiology-Endocrinology and Metabolism,"290 (3), E448-E455",53,2006,2osOgNQ5qMEC,
,,,,Effects of inosine on glycolysis and contracture during myocardial ischemia.,"ED Lewandowski, DL Johnston, R Roberts",Circulation research,"68 (2), 578-587",52,1991,J_g5lzvAfSwC,
,,,,Coupling of mitochondrial fatty acid uptake to oxidative flux in the intact heart,"JM O’Donnell, NM Alpert, LT White, ED Lewandowski",Biophysical journal,"82 (1), 11-18",51,2002,1sJd4Hv_s6UC,
,,,,"Enhancing natriuretic peptide signaling in adipose tissue, but not in muscle, protects against diet-induced obesity and insulin resistance","W Wu, F Shi, D Liu, RP Ceddia, R Gaffin, W Wei, H Fang, ...",Science signaling,10 (489),50,2017,kNdYIx-mwKoC,
,,,,Modeling enrichment kinetics from dynamic 13C-NMR spectra: theoretical analysis and practical considerations,"X Yu, NM Alpert, ED Lewandowski",American Journal of Physiology-Cell Physiology,"272 (6), C2037-C2048",50,1997,ULOm3_A8WrAC,
,,,,Subcellular metabolite transport and carbon isotope kinetics in the intramyocardial glutamate pool,"X Yu, LT White, NM Alpert, ED Lewandowski",Biochemistry,"35 (21), 6963-6968",49,1996,WF5omc3nYNoC,
,,,,Fatty acid metabolism and contractile function in the reperfused myocardium. Multinuclear NMR studies of isolated rabbit hearts.,"DL Johnston, ED Lewandowski",Circulation research,"68 (3), 714-725",49,1991,7PzlFSSx8tAC,
,,,,Altered metabolite exchange between subcellular compartments in intact postischemic rabbit hearts,"ED Lewandowski, X Yu, KF LaNoue, LT White, C Doumen, JM O’Donnell",Circulation research,"81 (2), 165-175",47,1997,vV6vV6tmYwMC,
,,,,Metabolic mechanisms associated with antianginal therapy,ED Lewandowski,Circulation research,"86 (5), 487-489",45,2000,M3NEmzRMIkIC,
,,,,Imaging myocardial metabolic remodeling,"RJ Gropler, RSB Beanlands, V Dilsizian, ED Lewandowski, FS Villanueva, ...",Journal of Nuclear Medicine,"51 (Supplement 1), 88S-101S",44,2010,a0OBvERweLwC,
,,,,Multiplet structure of 13C NMR signal from glutamate and direct detection of tricarboxylic acid (TCA) cycle intermediates,"ED Lewandowski, C Doumen, LT White, KF Lanoue, LA Damico, X Yu",Magnetic resonance in medicine,"35 (2), 149-154",42,1996,hC7cP41nSMkC,
,,,,"Early impairment of transmural principal strains in the left ventricular wall after short-term, high-fat feeding of mice predisposed to cardiac steatosis","JH Hankiewicz, NH Banke, M Farjah, ED Lewandowski",Circulation: Cardiovascular Imaging,"3 (6), 710-717",34,2010,ufrVoPGSRksC,
,,,,Brief increase in carbohydrate oxidation after reperfusion reverses myocardial stunning in conscious pigs,"RK Kudej, LT White, AB Kudej, SF Vatner, ED Lewandowski",Circulation,"106 (22), 2836-2841",34,2002,IWHjjKOFINEC,
,,,,Postnatal expression and activity of the mitochondrial 2-oxoglutarate-malate carrier in intact hearts,"JL Griffin, JM O'Donnell, LT White, RJ Hajjar, ED Lewandowski",American Journal of Physiology-Cell Physiology,"279 (6), C1704-C1709",33,2000,UebtZRa9Y70C,
,,,,Mitochondrial preference for short chain fatty acid oxidation during coronary artery constriction,"ED Lewandowski, RK Kudej, LT White, JM O’Donnell, SF Vatner",Circulation,"105 (3), 367-372",32,2002,IjCSPb-OGe4C,
,,,,Dynamic changes in 13C NMR spectra of intact hearts under conditions of varied metabolite enrichment,"ED Lewandowski, C Hulbert",Magnetic resonance in medicine,"19 (1), 186-190",32,1991,Tyk-4Ss8FVUC,
,,,,"Efficient, cardiac-specific adenoviral gene transfer in rat heart by isolated retrograde perfusion in vivo","JM O'Donnell, ED Lewandowski",Gene therapy,"12 (12), 958-964",31,2005,d1gkVwhDpl0C,
,,,,Multiphasic triacylglycerol dynamics in the intact heart during acute in vivo overexpression of CD36,"AN Carley, J Bi, X Wang, NH Banke, JRB Dyck, JM O'Donnell, ...",Journal of lipid research,"54 (1), 97-106",30,2013,RHpTSmoSYBkC,
,,,,Inosine preserves ATP during ischemia and enhances recovery during reperfusion,"S Devous MD, ED Lewandowski",American Journal of Physiology-Heart and Circulatory Physiology,253 (5 …,29,1987,SP6oXDckpogC,
,,,,Principal strain changes precede ventricular wall thinning during transition to heart failure in a mouse model of dilated cardiomyopathy,"JH Hankiewicz, PH Goldspink, PM Buttrick, ED Lewandowski",American Journal of Physiology-Heart and Circulatory Physiology,294 (1 …,28,2008,nb7KW1ujOQ8C,
,,,,Cardiac carbon 13 magnetic resonance spectroscopy: on the horizon or over the rainbow?,ED Lewandowski,Journal of nuclear cardiology,"9 (4), 419-428",27,2002,LkGwnXOMwfcC,
,,,,Recruitment of NADH shuttling in pressure-overloaded and hypertrophic rat hearts,"ED Lewandowski, JM O'donnell, TD Scholz, N Sorokina, PM Buttrick",American Journal of Physiology-Cell Physiology,"292 (5), C1880-C1886",26,2007,K3LRdlH-MEoC,
,,,,Cytosolic redox state mediates postischemic response to pyruvate dehydrogenase stimulation,"LT White, JM O’Donnell, J Griffin, ED Lewandowski",American Journal of Physiology-Heart and Circulatory Physiology,277 (2 …,24,1999,ldfaerwXgEUC,
,,,,Cardiac responses to induced lactate oxidation: NMR analysis of metabolic equilibria,"ED Lewandowski, LA Damico, LT White, X Yu",American Journal of Physiology-Heart and Circulatory Physiology,269 (1 …,24,1995,g5m5HwL7SMYC,
,,,,"High-energy phosphates and function in isolated, working rabbit hearts","ED Lewandowski, S Devous MD, RL Nunnally",American Journal of Physiology-Heart and Circulatory Physiology,253 (5 …,23,1987,R3hNpaxXUhUC,
,,,,Substrate-dependent proton load and recovery of stunned hearts during pyruvate dehydrogenase stimulation,"JL Griffin, LT White, ED Lewandowski",American Journal of Physiology-Heart and Circulatory Physiology,279 (1 …,22,2000,vRqMK49ujn8C,
,,,,Impaired cytosolic NADH shuttling and elevated UCP3 contribute to inefficient citric acid cycle flux support of postischemic cardiac work in diabetic hearts,"NH Banke, ED Lewandowski",Journal of molecular and cellular cardiology,"79, 13-20",20,2015,maZDTaKrznsC,
,,,,Acute liver carnitine palmitoyltransferase I overexpression recapitulates reduced palmitate oxidation of cardiac hypertrophy,"ED Lewandowski, SK Fischer, M Fasano, NH Banke, LA Walker, A Huqi, ...",Circulation research,"112 (1), 57-65",20,2013,2P1L_qKh6hAC,
,,,,NMR studies of beta-oxidation and short-chain fatty acid metabolism during recovery of reperfused hearts,"ED Lewandowski, MV Chari, R Roberts, DL Johnston",American Journal of Physiology-Heart and Circulatory Physiology,261 (2 …,20,1991,hMod-77fHWUC,
,,,,Mitochondrial transporter responsiveness and metabolic flux homeostasis in postischemic hearts,"JM O’Donnell, LT White, ED Lewandowski",American Journal of Physiology-Heart and Circulatory Physiology,277 (3 …,19,1999,WbkHhVStYXYC,
,,,,SERCA1 expression enhances the metabolic efficiency of improved contractility in post-ischemic heart,"JM O'Donnell, K Pound, X Xu, ED Lewandowski",Journal of molecular and cellular cardiology,"47 (5), 614-621",18,2009,4fKUyHm3Qg0C,
specialized diets,,,yes,Sexual dimorphism in cardiac triacylglyceride dynamics in mice on long term caloric restriction,"NH Banke, L Yan, KM Pound, S Dhar, H Reinhardt, MS De Lorenzo, ...",Journal of molecular and cellular cardiology,"52 (3), 733-740",17,2012,XiSMed-E-HIC,
,,,,Assessment of experimental pericardial effusion using nuclear magnetic resonance imaging techniques,"R Rokey, GW Vick III, R Bolli, ED Lewandowski",American heart journal,"121 (4), 1161-1169",17,1991,NMxIlDl6LWMC,
,,,,A novel pharmacological strategy by PTEN inhibition for improving metabolic resuscitation and survival after mouse cardiac arrest,"J Li, H Wang, Q Zhong, X Zhu, SJ Chen, Y Qian, J Costakis, G Bunney, ...",American Journal of Physiology-Heart and Circulatory Physiology,308 (11 …,16,2015,TFP_iSt0sucC,
,,,,Expression of slow skeletal TnI in adult mouse hearts confers metabolic protection to ischemia,"KM Pound, GM Arteaga, M Fasano, T Wilder, SK Fischer, CM Warren, ...",Journal of molecular and cellular cardiology,"51 (2), 236-243",14,2011,NhqRSupF_l8C,
,,,,Cardiac MR elastography of the mouse: Initial results,"Y Liu, TJ Royston, D Klatt, ED Lewandowski",Magnetic resonance in medicine,"76 (6), 1879-1886",13,2016,KxtntwgDAa4C,
,,,,Triacylglycerol turnover in the failing heart,"AN Carley, ED Lewandowski",Biochimica et Biophysica Acta (BBA)-Molecular and Cell Biology of Lipids …,,13,2016,MXK_kJrjxJIC,
,,,,Metabolic efficiency promotes protection from pressure overload in hearts expressing slow skeletal troponin I,"AN Carley, DM Taglieri, J Bi, RJ Solaro, ED Lewandowski",Circulation: Heart Failure,"8 (1), 119-127",13,2015,BqipwSGYUEgC,
,,,,Enhanced redox state and efficiency of glucose oxidation with miR based suppression of maladaptive NADPH-dependent malic enzyme 1 expression in hypertrophied hearts,"R Lahey, AN Carley, X Wang, CE Glass, KD Accola, S Silvestry, ...",Circulation research,"122 (6), 836-845",12,2018,YOwf2qJgpHMC,
,,,,Second window of preconditioning normalizes palmitate use for oxidation and improves function during low-flow ischaemia,"RK Kudej, M Fasano, X Zhao, GD Lopaschuk, SK Fischer, DE Vatner, ...",Cardiovascular research,"92 (3), 394-400",12,2011,RYcK_YlVTxYC,
,,,,Characterization of the cardiac overexpression of HSPB2 reveals mitochondrial and myogenic roles supported by a cardiac HspB2 interactome,"JH Grose, K Langston, X Wang, S Squires, SB Mustafi, W Hayes, ...",PLoS one,"10 (10), e0133994",11,2015,bFI3QPDXJZMC,
,,,,Acyl CoA synthetase-1 links facilitated long chain fatty acid uptake to intracellular metabolic trafficking differently in hearts of male versus female mice,"JR Goldenberg, X Wang, ED Lewandowski",Journal of molecular and cellular cardiology,"94, 1-9",10,2016,qxL8FJ1GzNcC,
,,,,Improved cardiac tagging resolution at ultra-high magnetic field elucidates transmural differences in principal strain in the mouse heart and reduced stretch in dilated …,"JH Hankiewicz, ED Lewandowski",Journal of Cardiovascular Magnetic Resonance,"9 (6), 883-890",9,2007,8k81kl-MbHgC,
,,,,Multiphasic regulation of systemic and peripheral organ metabolic responses to cardiac hypertrophy,"CW Liew, S Xu, X Wang, M McCann, H Whang Kong, AC Carley, J Pang, ...",Circulation: Heart Failure,"10 (4), e003864",8,2017,qjMakFHDy7sC,
,,,,Peroxisome proliferator-activated receptor-α expression induces alterations in cardiac myofilaments in a pressure-overload model of hypertrophy,"CN Karam, CM Warren, M Henze, NH Banke, ED Lewandowski, ...",American Journal of Physiology-Heart and Circulatory Physiology,312 (4 …,7,2017,xtRiw3GOFMkC,
,,,,Controlling Adenoviral Gene Transfer in Heart by Catheter-Based Coronary Perfusion,"JM O'Donnell, ED Lewandowski",Gene Therapy,33-46,6,2006,p2g8aNsByqUC,
,,,,Resolving confounding enrichment kinetics due to overlapping resonance signals from 13C‐enriched long chain fatty acid oxidation and uptake within intact hearts,"JM O'Donnell, MJ Fasano, ED Lewandowski",Magnetic resonance in medicine,"74 (2), 330-335",4,2015,HDshCWvjkbEC,
,,,,Is the Therapeutic Window for Mitochondrial ROS Half-Open or Half-Closed? Mixing Mitophagic Metaphors,"AN Carley, ED Lewandowski",Circulation research,"115 (3), 329-331",0,2014,e5wmG9Sq2KIC,
,,,,Magnetization transfer as a technique for in vivo assessment of altered energy transfer in cardiac hypertrophy,"ED Lewandowski, R Bolli",Journal of the American College of Cardiology,"19 (1), 229-231",0,1992,CHSYGLWDkRkC,
vitamins & minerals,,,yes,"The anti-inflammatory effects of selenium are mediated through 15-deoxy-Δ12, 14-prostaglandin J2 in macrophages","H Vunta, F Davis, UD Palempalli, D Bhat, RJ Arner, JT Thompson, ...",Journal of Biological Chemistry,"282 (25), 17964-17973",185,2007,J_g5lzvAfSwC,
vegetables,,,yes,Identification and quantification of ergothioneine in cultivated mushrooms by liquid chromatography-mass spectroscopy,"NJ Dubost, RB Beelman, D Peterson, DJ Royse",International Journal of Medicinal Mushrooms,8 (3),142,2006,fPk4N6BV_jEC,
grains,,,yes,Chemistry of bread aroma: A review,"IH Cho, DG Peterson",Food Science and Biotechnology,"19 (3), 575-582",137,2010,3s1wT3WcHBgC,
,,,,Epicatechin carbonyl-trapping reactions in aqueous Maillard systems: identification and structural elucidation,"VM Totlani, DG Peterson",Journal of agricultural and food chemistry,"54 (19), 7311-7318",129,2006,a0OBvERweLwC,
,,,,"Reactivity of Epicatechin in Aqueous Glycine and Glucose Maillard Reaction Models:  Quenching of C2, C3, and C4 Sugar Fragments","VM Totlani, DG Peterson",Journal of agricultural and food chemistry,"53 (10), 4130-4135",118,2005,P5F9QuxV20EC,
dairy,,,yes,Inhibition of key aroma compound generated during ultrahigh-temperature processing of bovine milk via epicatechin addition,"PM Colahan-Sederstrom, DG Peterson",Journal of agricultural and food chemistry,"53 (2), 398-402",109,2005,YsMSGLbcyi4C,
"dairy, phytochemicals, fruits",,,yes,Chemical and sensory analysis of strawberry flavoured yogurt supplemented with an algae oil emulsion,"CP Chee, JJ Gallaher, D Djordjevic, H Faraji, DJ McClements, EA Decker, ...",The Journal of dairy research,"72 (3), 311",90,2005,kNdYIx-mwKoC,
dairy ,,,yes,Characterization of the volatile compounds that constitute fresh sweet cream butter aroma,"DG Peterson, GA Reineccius",Flavour and Fragrance Journal,"18 (3), 215-220",86,2003,zA6iFVUQeVQC,
grains,,,yes,Variation in Minnesota HRS wheats: starch granule size distribution,"DG Peterson, RG Fulcher",Food Research International,"34 (4), 357-363",76,2001,r0BpntZqJG4C,
grains,,,yes,Water solubility of flavor compounds influences formation of flavor inclusion complexes from dispersed high-amylose maize starch,"O Tapanapunnitikul, S Chaiseri, DG Peterson, DB Thompson",Journal of agricultural and food chemistry,"56 (1), 220-226",68,2008,vV6vV6tmYwMC,
,,,,Influence of epicatechin reactions on the mechanisms of Maillard product formation in low moisture model systems,"VM Totlani, DG Peterson",Journal of agricultural and food chemistry,"55 (2), 414-420",65,2007,lSLTfruPkqcC,
dairy,,,yes,Determination of the aroma impact compounds in heated sweet cream butter,"DG Peterson, GA Reineccius",Flavour and fragrance journal,"18 (4), 320-324",59,2003,bEWYMUwI8FkC,
fruits,,,yes,Chemical and sensory comparison of fresh and dried lulo (Solanum quitoense Lam.) fruit aroma,"DP Forero, CE Orrego, DG Peterson, C Osorio",Food chemistry,"169, 85-91",57,2015,dshw04ExmUIC,
grains,,,yes,Identification of bitter compounds in whole wheat bread,"D Jiang, DG Peterson",Food chemistry,"141 (2), 1345-1353",57,2013,MXK_kJrjxJIC,
phytochemicals,,,yes,Role of hydroxycinnamic acids in food flavor: a brief overview,"D Jiang, DG Peterson",Phytochemistry Reviews,"9 (1), 187-193",53,2010,Zph67rFs4hoC,
dairy,,,yes,Effect of composition and antioxidants on the oxidative stability of fluid milk supplemented with an algae oil emulsion,"JJ Gallaher, R Hollender, DG Peterson, RF Roberts, JN Coupland",International Dairy Journal,"15 (4), 333-341",51,2005,qxL8FJ1GzNcC,
,,,,Structure− reactivity relationships of flavan-3-ols on product generation in aqueous glucose/glycine model systems,"Y Noda, DG Peterson",Journal of agricultural and food chemistry,"55 (9), 3686-3691",50,2007,hFOr9nPyWt4C,
other,,,yes,Identification of bitter peptides in whey protein hydrolysate,"X Liu, D Jiang, DG Peterson",Journal of agricultural and food chemistry,"62 (25), 5719-5725",49,2014,d1gkVwhDpl0C,
"dairy, other",,,yes,Effect of olive mill wastewater phenol compounds on reactive carbonyl species and Maillard reaction end-products in ultrahigh-temperature-treated milk,"AD Troise, A Fiore, A Colantuono, S Kokkinidou, DG Peterson, V Fogliano",Journal of agricultural and food chemistry,"62 (41), 10092-10100",48,2014,YFjsv_pBGBYC,
,,,,Identification of hydroxycinnamic acid− maillard reaction products in low-moisture baking model systems,"D Jiang, C Chiaro, P Maddali, KS Prabhu, DG Peterson",Journal of agricultural and food chemistry,"57 (21), 9932-9943",47,2009,1sJd4Hv_s6UC,
,,,,Effects of droplet crystallization and melting on the aroma release properties of a model oil-in-water emulsion,"S Ghosh, DG Peterson, JN Coupland",Journal of agricultural and food chemistry,"54 (5), 1829-1837",47,2006,f2IySw72cVMC,
dairy ,,,yes,Control of Maillard-type off-flavor development in ultrahigh-temperature-processed bovine milk by phenolic chemistry,"S Kokkinidou, DG Peterson",Journal of agricultural and food chemistry,"62 (32), 8023-8033",45,2014,hMod-77fHWUC,
dairy,,,yes,Reduction of stale flavor development in low-heat skim milk powder via epicatechin addition,"SL Schwambach, DG Peterson",Journal of agricultural and food chemistry,"54 (2), 502-508",42,2006,TQgYirikUcIC,
,,,yes,Influence of endogenous ferulic acid in whole wheat flour on bread crust aroma,"MR Moskowitz, Q Bin, RJ Elias, DG Peterson",Journal of agricultural and food chemistry,"60 (45), 11245-11252",39,2012,rO6llkc54NcC,
other,,,yes,Influence of flavor solvent on flavor release and perception in sugar-free chewing gum,"RV Potineni, DG Peterson",Journal of agricultural and food chemistry,"56 (9), 3254-3259",39,2008,QIV2ME_5wuYC,
dairy ,,,yes,Identification of bitter peptides in aged cheddar cheese,"K Karametsi, S Kokkinidou, I Ronningen, DG Peterson",Journal of agricultural and food chemistry,"62 (32), 8034-8041",33,2014,pqnbT2bcN3wC,
dairy ,,,yes,Response surface methodology as optimization strategy for reduction of reactive carbonyl species in foods by means of phenolic chemistry,"S Kokkinidou, DG Peterson",Food & function,"4 (7), 1093-1104",33,2013,RGFaLdJalmkC,
"dairy, other, fruits, phytochemicals",,,yes,Sensory properties of vanilla and strawberry flavored ice cream supplemented with omega-3 fatty acids,"CP Chee, D Djordjevic, H Faraji, EA Decker, R Hollender, DJ McClements, ...",Milchwissenschaft,"62 (1), 66-69",30,2007,_Qo2XoVZTnwC,
grains,,,yes,Identification of bitter compounds in whole wheat bread crumb,"Q Bin, DG Peterson",Food chemistry,"203, 8-15",29,2016,u-x6o8ySG0sC,
other,,,yes,Mechanisms of flavor release in chewing gum: cinnamaldehyde,"RV Potineni, DG Peterson",Journal of agricultural and food chemistry,"56 (9), 3260-3267",29,2008,L8Ckcad2t8MC,
other,,,yes,Flavor release and perception in hard candy: influence of flavor compound− compound interactions,"AL Schober, DG Peterson",Journal of agricultural and food chemistry,"52 (9), 2623-2627",28,2004,Se3iqnhoufwC,
other,,,yes,Influence of hazelnut paste on the sensory properties and shelf‐life of dark chocolate,"LA Nattress, GR Ziegler, R Hollender, DG Peterson",Journal of sensory studies,"19 (2), 133-148",27,2004,HoB7MX3m0LUC,
,,,,Influence of phenolic compounds on the mechanisms of pyrazinium radical generation in the Maillard reaction,"Q Bin, DG Peterson, RJ Elias",Journal of agricultural and food chemistry,"60 (21), 5482-5490",26,2012,WF5omc3nYNoC,
,,,yes,Aroma release from solid droplet emulsions: effect of lipid type,"S Ghosh, DG Peterson, JN Coupland",Journal of the American Oil Chemists' Society,"84 (11), 1001-1014",26,2007,eQOLeE2rZwMC,
vegetables,,,yes,Biosynthesis of 1-octen-3-ol and 10-oxo-trans-8-decenoic acid using a crude homogenate of Agaricus bisporus: Optimization of the reaction: kinetic factors,"RO Morawicki, RB Beelman, D Peterson, G Ziegler",Process biochemistry,"40 (1), 131-137",24,2005,2osOgNQ5qMEC,
grains,,,yes,Chemical markers for bitterness in wheat bread,"Q Bin, D Jiang, IH Cho, DG Peterson",Flavour and fragrance journal,"27 (6), 454-458",22,2012,M05iB0D1s5AC,
fruits,,,yes,Role of Reactive Carbonyl Species in non-enzymatic browning of apple juice during storage,"L Paravisini, DG Peterson",Food chemistry,"245, 1010-1017",20,2018,isC4tDSrTZIC,
"grains, phytochemicals",,,yes,Inclusion complexation of flavour compounds by dispersed high-amylose maize starch (HAMS) in an aqueous model system,"L Yeo, DB Thompson, DG Peterson",Food chemistry,"199, 393-400",20,2016,KxtntwgDAa4C,
other,,,yes,Identification of bitter modulating Maillard-catechin reaction products,"L Zhang, Y Xia, DG Peterson",Journal of agricultural and food chemistry,"62 (33), 8470-8477",18,2014,9ZlFYXVOiuMC,
phytochemicals,,,yes,Influence of flavonoids on the thermal generation of aroma compounds,"DG Peterson, VM Totlani",,,18,2005,_xSYboBqXhAC,
fruits,,,yes,Mechanisms non-enzymatic browning in orange juice during storage,"L Paravisini, DG Peterson",Food chemistry,"289, 320-327",16,2019,l7t_Zn2s7bgC,
fruits,,,yes,Spermidine Derivatives in Lulo (Solanum quitoense Lam.) Fruit: Sensory (Taste) versus Biofunctional (ACE-Inhibition) Properties,"DP Forero, C Masatani, Y Fujimoto, E Coy-Barrera, DG Peterson, ...",Journal of agricultural and food chemistry,"64 (26), 5375-5383",15,2016,roLk4NBRz8UC,
,,,,Temporal aroma release profile of solid and liquid droplet emulsions,"S Ghosh, DG Peterson, JN Coupland",Food biophysics,"3 (4), 335-343",13,2008,UebtZRa9Y70C,
vegetables,,,yes,Phytonutrient compositions from mushrooms or filamentous fungi and methods of use,"R Beelman, N Dubost, D Peterson, M Hausman",US Patent App.,"11/686,033",13,2007,BqipwSGYUEgC,
other,,,yes,"The important role of carbohydrates in the flavor, function, and formulation of oral nutritional supplements","S Kokkinidou, D Peterson, T Bloch, A Bronston",Nutrients,"10 (6), 742",12,2018,CHSYGLWDkRkC,
dairy ,,,yes,Influence of thermal processing conditions on flavor stability in fluid milk: benzaldehyde,"RV Potineni, DG Peterson",Journal of dairy science,"88 (1), 1-6",12,2005,0EnyYjriUFMC,
other,,,yes,Flavor Release and Perception in Hard Candy: Influence of Flavor Compound− Flavor Solvent Interactions,"AL Schober, DG Peterson",Journal of agricultural and food chemistry,"52 (9), 2628-2631",12,2004,4OULZ7Gr8RgC,
vegetables,,,yes,Identification of aroma compounds in pea protein UHT beverages,"M Trikusuma, L Paravisini, DG Peterson",Food chemistry,"312, 126082",11,2020,geHnlv5EZngC,
fruits,,,yes,Identification and validation of sensory-active compounds from data-driven research: a flavoromics approach,"I Ronningen, M Miller, Y Xia, DG Peterson",Journal of agricultural and food chemistry,"66 (10), 2473-2479",11,2017,35N4QoGY0k4C,
,,,,Principles of food flavor analysis,"G Reineccius, D Peterson",Instrumental assessment of food sensory quality,53-102,11,2013,blknAaTinKkC,
,,,,Biological pathways for the formation of oxygen-containing aroma compounds,"D Peterson, GA Reineccius",,,11,2002,g5m5HwL7SMYC,
"vegetables, other",,,yes,Identification of a novel umami compound in potatoes and potato chips,"L Zhang, DG Peterson",Food chemistry,"240, 1219-1226",10,2018,aqlVkmm33-oC,
,,,,Reactive carbonyl species as key control point for optimization of reaction flavors,"L Paravisini, DG Peterson",Food chemistry,"274, 71-78",9,2019,ZHo1McVdvXMC,
,prostate cancer,,yes,Nutritional translation blended with food science: 21st century applications,"MG Ferruzzi, DG Peterson, RP Singh, SJ Schwartz, MR Freedman",Advances in Nutrition,"3 (6), 813-819",8,2012,hqOjcs7Dif8C,
fruits,,,yes,Characterization of browning formation in orange juice during storage,"L Paravisini, DG Peterson","Browned Flavors: Analysis, Formation, and Physiology",55-65,7,2016,p2g8aNsByqUC,
other,,,yes,Impact of bitter tastant sub-qualities on retronasal coffee aroma perception,"L Paravisini, A Soldavini, J Peterson, CT Simons, DG Peterson",PloS one,"14 (10), e0223280",6,2019,B3FOqHPlNUQC,
fruits,,,yes,Identification of aging-associated food quality changes in citrus products using untargeted chemical profiling,"IG Ronningen, DG Peterson",Journal of agricultural and food chemistry,"66 (3), 682-688",6,2018,2P1L_qKh6hAC,
vitamins & minerals,,,yes,Effect of Protein–Lipid–Salt Interactions on Sodium Availability in the Mouth and Consequent Perception of Saltiness: In Solutions,"U Yucel, DG Peterson",Journal of agricultural and food chemistry,"63 (34), 7487-7493",6,2015,EUQCXRtRnyEC,
grains,,,yes,Hydroxycinnamic acid-Maillard reactions: insights into flavor development of whole grain foods,"D Jiang, DG Peterson",,"12th Weurman Flavour Research Symposium, Interlaken",6,2008,_FxGoFyzp5QC,
other,,,yes,Effects of polyol type and particle size on flavor release in chewing gum,"S Raithore, DG Peterson",Food chemistry,"253, 293-299",5,2018,mB3voiENLucC,
other,,,yes,Identification of flavor modulating compounds that positively impact coffee quality,"S Sittipod, E Schwartz, L Paravisini, DG Peterson",Food chemistry,"301, 125250",4,2019,K3LRdlH-MEoC,
grains,,,yes,Identification of bitter compounds in extruded corn puffed products,"L Zhang, DG Peterson",Food chemistry,"254, 185-192",4,2018,D03iK_w7-QYC,
fruits,,,yes,Storage conditions modulate the metabolomic profile of a black raspberry nectar with minimal impact on bioactivity,"MD Teegarden, TJ Knobloch, CM Weghorst, JL Cooperstone, ...",Food & function,"9 (9), 4593-4601",4,2018,R3hNpaxXUhUC,
phytochemicals,,,yes,Hydroxycinnamic acid–Maillard reactions in simple aqueous model systems,"MR Moskowitz, DG Peterson",Controlling Maillard Pathways to Generate Flavors,53-62,4,2010,4JMBOYKVnBMC,
grains,,,yes,Variation in Minnesota HRS wheats: bran content,"D Peterson, R Fulcher",Journal of food science,"67 (1), 67-70",4,2002,RHpTSmoSYBkC,
dairy,,,yes,Identification of small molecule flavor compounds that contribute to the somatosensory attributes of bovine milk products,"DM Potts, DG Peterson",Food chemistry,"294, 27-34",3,2019,738O_yMBCRsC,
fruits,,,yes,Application of untargeted LC/MS techniques (Flavoromics) to identify changes related to freshness of food,"IG Ronningen, DG Peterson","The Chemical Sensory Informatics of Food: Measurement, Analysis, Integration …",,3,2015,7PzlFSSx8tAC,
,,,,Flavour binding by solid and liquid emulsion droplets,"S Ghosh, DG Peterson, JN Coupland",Food Colloids,423-432,3,2007,KlAtU1dfN6UC,
vegetables,,,yes,Identification and quantification of ergothioneine in cultivated mushrooms by liquid chromatography mass spectroscopy,"NJ Dubost, RB Beelman, DG Peterson, DJ Royse",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"230, U83-U83",3,2005,kRWSkSYxWN8C,
grains,,,yes,Effects of phenolic content on the generation of Maillard-type aroma compounds in toasted oat groats,"DG Peterson, SL Schwambach, VA Totlani",Abstracts of Papers of the American Chemical Society,"230, U72-U72",3,2005,YOwf2qJgpHMC,
grains,,,yes,Comparison of the aroma profiles of intermediate wheatgrass and wheat bread crusts,"L Paravisini, KA Sneddon, DG Peterson",Molecules,"24 (13), 2484",2,2019,OU6Ihb5iCvQC,
viramins & minerals,,,yes,Effect of protein–lipid–salt interactions on sodium availability in the mouth and consequent perception of saltiness: as affected by hydration in powders,"U Yucel, DG Peterson",Journal of agricultural and food chemistry,"63 (34), 7494-7498",2,2015,70eg2SAEIzsC,
other,,,yes,"PETERSON:"" Influence of Flavor Solvent on Flavor Release and Perception in Sugar-Free Chewing Gum","VP RAJESH, G DEVIN","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,¬ AMERICAN CHEMICAL SOCIETY …",,2,2008,XiSMed-E-HIC,
,,,,Recovery and Purification of 10‐oxo‐trans‐8‐decenoic Acid Enzymatically Produced Using a Crude Homogenate of Agaricus bisporus,"RO Morawicki, RB Beelman, D Peterson",Journal of food science,"70 (8), c490-c494",2,2005,iH-uZ7U-co4C,
grains,,,yes,Identification of Aroma Differences in Refined and Whole Grain Extruded Maize Puffs,"K Smith, DG Peterson",Molecules,"25 (9), 2261",1,2020,eflP2zaiRacC,
dairy,,,yes,Identification of objectionable flavors in purported spontaneous oxidized flavor bovine milk,"DM Potts, DG Peterson",Journal of dairy science,"101 (12), 10877-10885",1,2018,tOudhMTPpwUC,
other,,,yes,Delivery of Taste and Aroma Components in Sugar-Free Chewing Gum: Mass Balance Analysis,"S Raithore, DG Peterson",Chemosensory perception,"9 (4), 182-192",1,2016,NhqRSupF_l8C,
,,,,Identification of compounds that contribute to trigeminal burn in aqueous ethanol solutions,"S Kokkinidou, DG Peterson",Food chemistry,"211, 757-762",1,2016,Y0pCki6q_DkC,
